"Esquema Homologado de Recolección de Información de Impartición de Justicia 2022
Sistema Oral (Juzgados de Control)
Tema: Delitos",,,,,,,
"Archivo: DELIT_JC.csv (Contiene variables que caracterizan los delitos registrados en las causas penales ingresadas en el sistema acusatorio oral en los juzgados de control o garantías de acuerdo con sus características, durante el año 2021.)",,,,,,,
Núm.de campo,Nombre de la columna,Descripcion,Tipo de dato,Longitud,Códigos válidos en la columna,,"Rango
,,,,,60201,La sociedad - Trata de personas con fines de explotación sexual,
,,,,,60202,La sociedad - Trata de personas con fines de trabajo o servicios forzados,
,,,,,60203,La sociedad - Trata de personas con fines de tráfico de órganos,
,,,,,60204,La sociedad - Trata de personas con otros fines,
,,,,,60300,La sociedad - Violencia de género en todas sus modalidades distinta a la violencia familiar,
,,,,,60400,La sociedad - Discriminación,
,,,,,60500,La sociedad - Lenocinio,
,,,,,60600,La sociedad - Otros delitos contra la sociedad,
,,,,,70100,La seguridad pública y la seguridad del Estado - Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo,
,,,,,70101,La seguridad pública y la seguridad del Estado - Posesión simple de narcóticos,
,,,,,70102,La seguridad pública y la seguridad del Estado - Posesión con fines de comercio o suministro de narcóticos,
,,,,,70103,La seguridad pública y la seguridad del Estado - Comercio de narcóticos,
,,,,,70104,La seguridad pública y la seguridad del Estado - Suministro de narcóticos,
,,,,,70105,La seguridad pública y la seguridad del Estado - Otros delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo,
,,,,,70200,La seguridad pública y la seguridad del Estado - Delitos federales contra la salud relacionados con narcóticos,
,,,,,70201,La seguridad pública y la seguridad del Estado - Producción de narcóticos,
,,,,,70202,La seguridad pública y la seguridad del Estado - Transporte de narcóticos,
,,,,,70203,La seguridad pública y la seguridad del Estado - Tráfico de narcóticos,
,,,,,70204,La seguridad pública y la seguridad del Estado - Comercio de narcóticos,
,,,,,70205,La seguridad pública y la seguridad del Estado - Suministro de narcóticos,
,,,,,70206,La seguridad pública y la seguridad del Estado - Posesión de narcóticos,
,,,,,70207,La seguridad pública y la seguridad del Estado - Otros delitos federales contra la salud relacionados con narcóticos,
,,,,,70300,La seguridad pública y la seguridad del Estado - Evasión de presos,
,,,,,70400,La seguridad pública y la seguridad del Estado - Delitos en materia de armas y objetos prohibidos,
,,,,,70500,La seguridad pública y la seguridad del Estado - Delitos de delincuencia organizada,
,,,,,70600,"La seguridad pública y la seguridad del Estado - Delitos en materia de armas, explosivos y otros materiales destructivos",
,,,,,70601,La seguridad pública y la seguridad del Estado - Portación ilícita de armas,
,,,,,70602,"La seguridad pública y la seguridad del Estado - Posesión ilícita de armas, cartuchos y cargadores",
,,,,,70603,La seguridad pública y la seguridad del Estado - Acopio ilícito de armas,
,,,,,70604,"La seguridad pública y la seguridad del Estado - Tráfico ilícito de armas, explosivos y otros materiales destructivos",
,,,,,70605,"La seguridad pública y la seguridad del Estado - Otros delitos en materia de armas, explosivos y otros materiales destructivos",
,,,,,70700,La seguridad pública y la seguridad del Estado - Asociación delictuosa,
,,,,,70800,La seguridad pública y la seguridad del Estado - Terrorismo,
,,,,,70900,La seguridad pública y la seguridad del Estado - Otros delitos contra la seguridad pública y la seguridad del Estado,
,,,,,80100,La administración del Estado - Delitos por hechos de corrupción,
,,,,,80101,La administración del Estado - Ejercicio indebido del servicio público,
,,,,,80102,La administración del Estado - Abuso de autoridad,
,,,,,80103,La administración del Estado - Cohecho,
,,,,,80104,La administración del Estado - Peculado,
,,,,,80105,La administración del Estado - Enriquecimiento ilícito,
,,,,,80106,La administración del Estado - Ejercicio abusivo de funciones,
,,,,,80107,La administración del Estado - Tráfico de influencias,
,,,,,80108,La administración del Estado - Otros delitos por hechos de corrupción,
,,,,,80200,La administración del Estado - Delitos contra la administración de justicia,
,,,,,80201,La administración del Estado - En materia de amparo,
,,,,,80202,La administración del Estado - Otros delitos contra la administración de justicia,
,,,,,80300,La administración del Estado - Delitos en materia fiscal,
,,,,,80400,La administración del Estado - Delitos electorales,
,,,,,80500,La administración del Estado - Otros delitos contra la administración del Estado,
,,,,,90100,Otros (bienes jurídicos) - Amenazas,
,,,,,90200,Otros (bienes jurídicos) - Allanamiento de morada,
,,,,,90300,Otros (bienes jurídicos) - Falsedad,
,,,,,90400,Otros (bienes jurídicos) - Falsificación,
,,,,,90500,"Otros (bienes jurídicos) - Delitos contra el medio ambiente, el equilibrio ecológico y la gestión ambiental",
,,,,,90501,"Otros (bienes jurídicos) - Tráfico de flora o fauna silvestres en peligro de extinción, amenazadas o sujetas a protección",
,,,,,90502,"Otros (bienes jurídicos) - Comercialización de flora o fauna silvestres en peligro de extinción, amenazadas o sujetas a protección",
,,,,,90503,"Otros (bienes jurídicos) - Caza, pesca o tala ilegal de flora o fauna silvestres en peligro de extinción, amenazadas o sujetas a protección",
,,,,,90504,Otros (bienes jurídicos) - Transporte o manejo de residuos peligrosos,
,,,,,90505,Otros (bienes jurídicos) - Daños a los ecosistemas o sus elementos,
,,,,,90506,"Otros (bienes jurídicos) - Otros delitos contra el medio ambiente, el equilibrio ecológico y la gestión ambiental",
,,,,,90600,Otros (bienes jurídicos) - Delitos en materia de vías de comunicación y correspondencia,
,,,,,90700,Otros (bienes jurídicos) - Delitos en materia de migración,
,,,,,90701,Otros (bienes jurídicos) - Tráfico de indocumentados,
,,,,,90702,Otros (bienes jurídicos) - Otros delitos en materia de migración,
,,,,,90800,Otros (bienes jurídicos) - Delitos en materia de derechos de autor,
,,,,,90900,"Otros (bienes jurídicos) - Delitos en materia de instituciones de crédito, inversión, fianzas y seguros",
,,,,,91000,Otros (bienes jurídicos) - Delitos en materia de propiedad industrial,
,,,,,91100,Otros (bienes jurídicos) - Delitos contra la salud no relacionados con narcóticos,
,,,,,91200,Otros (bienes jurídicos) - Encubrimiento,
,,,,,91300,Otros (bienes jurídicos) - Operaciones con recursos de procedencia ilícita,
,,,,,91400,Otros (bienes jurídicos) - Tortura,
,,,,,91500,Otros (bienes jurídicos) - Suplantación y usurpación de identidad,
,,,,,91600,Otros (bienes jurídicos) - Delitos contra la seguridad de los datos y/o sistemas o equipos informáticos,
,,,,,91601,Otros (bienes jurídicos) - Acceso ilícito a sistemas o equipos informáticos,
,,,,,91602,Otros (bienes jurídicos) - Daños a datos informáticos,
,,,,,91603,Otros (bienes jurídicos) - Interferir en el buen funcionamiento de sistemas o equipos informáticos,
,,,,,91604,Otros (bienes jurídicos) - Otros delitos contra la seguridad de los datos y/o sistemas o equipos informáticos,
,,,,,91700,"Otros (bienes jurídicos) - Tratos o penas crueles, inhumanos o degradantes",
,,,,,91800,Otros (bienes jurídicos) - Otros delitos,
,,,,,999999,No especificado - No especificado,
5,CALIFIDE,"Clasificación de los delitos registrados en las causas penales ingresadas en el sistema acusatorio oral en los juzgados de control o garantías, según su calificación, durante el año 2021.",Numérico,1,0,No aplica,
,,,,,1,Grave,
,,,,,2,No grave,
,,,,,9,No identificado,
6,CONSUMAC,"Clasificación de los delitos registrados en las causas penales ingresadas en el sistema acusatorio oral en los juzgados de control o garantías, según su nivel de ejecución, durante el año 2021.",Numérico,1,0,No aplica,
,,,,,1,Consumado,
,,,,,2,Tentativa,
,,,,,9,No identificado,
7,FORCOMIS,"Clasificación de los delitos registrados en las causas penales ingresadas en el sistema acusatorio oral en los juzgados de control o garantías, según su forma de comisión, durante el año 2021.",Numérico,1,0,No aplica,
,,,,,1,Doloso,
,,,,,2,Culposo,
,,,,,9,No identificado,
8,FORACCIO,"Clasificación de los delitos registrados en las causas penales ingresadas en el sistema acusatorio oral en los juzgados de control o garantías, según su forma de acción, durante el año 2021.",Numérico,1,0,No aplica,
,,,,,1,Con violencia,
,,,,,2,Sin violencia,
,,,,,9,No identificado,
9,MODADEL,"Clasificación de los delitos registrados en las causas penales ingresadas en el sistema acusatorio oral en los juzgados de control o garantías, según su modalidad, durante el año 2021.",Numérico,1,0,No aplica,
,,,,,1,Simple,
,,,,,2,Atenuado,
,,,,,3,Agravado,
,,,,,4,Calificado,
,,,,,5,Calificado-agravado,
,,,,,9,No identificado,
10,ELE_COMI,"Clasificación de los delitos registrados en las causas penales ingresadas en el sistema acusatorio oral en los juzgados de control o garantías, según sus elementos para la comisión, durante el año 2021.",Numérico,1,0,No aplica,
,,,,,1,Con arma de fuego,
,,,,,2,Con arma blanca,
,,,,,3,Con alguna parte del cuerpo,
,,,,,4,Con algún vehículo,
,,,,,5,Con algún medio electrónico o informático,
,,,,,6,Con otro instrumento,
,,,,,7,No identificado,
11,TICONCUR,"Clasificación de los delitos registrados en las causas penales ingresadas en el sistema acusatorio oral en los juzgados de control o garantías, según su concurso, durante el año 2021.",Numérico,1,0,No aplica,
,,,,,1,Ideal,
,,,,,2,Real,
,,,,,3,No identificado,
12,CLASITIP,"Clasificación de los delitos registrados en las causas penales ingresadas en el sistema acusatorio oral en los juzgados de control o garantías, según su clasificación, durante el año 2021.",Numérico,1,0,No aplica,
,,,,,1,Instantáneo,
,,,,,2,Permanente,
,,,,,3,Continuado,
,,,,,9,No identificado,
13,ENTIOCUR,"Clasificación de los delitos registrados en las causas penales ingresadas en el sistema acusatorio oral en los juzgados de control o garantías, según su entidad federativa de ocurrencia, durante el año 2021.",Numérico,2,0,No aplica,
,,,,,1,Aguascalientes,
,,,,,2,Baja California,
,,,,,3,Baja California Sur,
,,,,,4,Campeche,
,,,,,5,Coahuila de Zaragoza,
,,,,,6,Colima,
,,,,,7,Chiapas,
,,,,,8,Chihuahua,
,,,,,9,Ciudad de México,
,,,,,10,Durango,
,,,,,11,Guanajuato,
,,,,,12,Guerrero,
,,,,,13,Hidalgo,
,,,,,14,Jalisco,
,,,,,15,México,
,,,,,16,Michoacán de Ocampo,
,,,,,17,Morelos,
,,,,,18,Nayarit,
,,,,,19,Nuevo León,
,,,,,20,Oaxaca,
,,,,,21,Puebla,
,,,,,22,Querétaro,
,,,,,23,Quintana Roo,
,,,,,24,San Luis Potosí,
,,,,,25,Sinaloa,
,,,,,26,Sonora,
,,,,,27,Tabasco,
,,,,,28,Tamaulipas,
,,,,,29,Tlaxcala,
,,,,,30,Veracruz de Ignacio de la Llave,
,,,,,31,Yucatán,
,,,,,32,Zacatecas,
,,,,,99,No identificado,
14,MUOCURRI,"Clasificación de los delitos registrados en las causas penales ingresadas en el sistema acusatorio oral en los juzgados de control o garantías, según su municipio o demarcación de ocurrencia, durante el año 2021.",Carácter,5,,"00000, 01001 ... 32058, 32997, 32998, 32999, 99999 (Los dos primeros caracteres identifican a la entidad federativa y los últimos tres caracteres identifican al municipio o demarcación)",
15,FEC_OCUR,"Clasificación de los delitos registrados en las causas penales ingresadas en el sistema acusatorio oral en los juzgados de control o garantías, según el año y mes de ocurrencia, durante el año 2021.",Carácter,15,,,
16,TOTALCA1,"La cantidad de imputados que cometieron el delito registrado en las causas penales ingresadas en el sistema acusatorio oral en los juzgados de control o garantías, durante el año 2021.",Carácter,20,,,"0-999999999999999, NA, NSS, ND, NULL"
17,TOTALCA2,"La cantidad de víctimas a las que se les cometió el delito registrado en las causas penales ingresadas en el sistema acusatorio oral en los juzgados de control o garantías, durante el año 2021.",Carácter,20,,,"0-999999999999999, NA, NSS, ND, NULL"
